gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000265141.2	0	0	0	0	0	0	
ENSG00000197241.3	3	3	7	5	1	2	
ENSG00000142583.17	27	35	7	22	27	17	
ENSG00000252404.1	0	0	0	0	0	0	
ENSG00000180758.11	627	734	623	696	680	628	
ENSG00000228526.7	1394	1204	961	1261	1168	893	
ENSG00000284357.1	0	0	0	0	0	0	
ENSG00000234546.3	78	67	71	80	91	69	
ENSG00000049239.12	2163	2280	1640	2926	2147	1659	
ENSG00000171621.13	2602	2454	1772	2574	2103	1764	
ENSG00000284652.1	1	1	1	2	1	0	
ENSG00000284693.1	17	17	13	27	18	9	
ENSG00000252956.1	0	0	0	0	0	0	
ENSG00000235263.1	0	0	0	0	0	0	
ENSG00000171612.6	355	387	353	317	351	348	
ENSG00000231181.1	4	4	10	9	12	8	
ENSG00000188807.12	1258	1466	1247	1183	1330	1256	
ENSG00000171608.15	653	751	698	693	650	708	
ENSG00000179840.5	0	0	0	0	0	0	
ENSG00000233268.3	0	0	0	0	0	0	
ENSG00000231789.2	147	153	98	146	152	122	
ENSG00000171603.17	9079	9860	8147	9940	9199	8037	
ENSG00000271264.1	0	0	0	0	0	0	
ENSG00000280113.2	0	0	0	0	0	0	
ENSG00000178585.14	381	383	309	435	392	289	
ENSG00000223989.1	0	0	0	0	0	0	
ENSG00000285701.1	0	0	0	0	0	0	
ENSG00000162441.11	1515	1666	1623	1660	1624	1427	
ENSG00000228150.1	4	3	4	3	2	7	
ENSG00000173614.13	394	408	359	384	442	346	
ENSG00000202415.1	5	6	5	3	5	7	
ENSG00000283611.2	0	0	0	0	0	0	
ENSG00000265521.1	0	0	0	0	0	0	
ENSG00000241326.1	0	0	0	0	0	0	
ENSG00000162444.11	63	80	74	65	72	58	
ENSG00000130939.18	2731	3205	2699	2945	2986	2577	
ENSG00000224340.1	0	0	1	0	0	0	
ENSG00000233623.2	0	0	1	0	1	2	
ENSG00000201746.1	1	1	0	1	1	0	
ENSG00000054523.17	2902	3436	3485	3524	3266	3121	
ENSG00000264881.1	0	0	0	0	0	0	
ENSG00000199562.1	2	2	1	0	1	0	
ENSG00000264501.2	0	0	0	0	0	0	
ENSG00000284735.1	8	20	7	12	10	8	
ENSG00000284642.1	2	6	3	5	5	1	
ENSG00000142657.20	97697	110679	84975	103351	108770	84136	
ENSG00000271989.1	7	7	11	15	8	12	
ENSG00000251503.8	0	0	0	0	0	0	
ENSG00000175279.21	62	74	43	70	54	55	
ENSG00000241563.3	2	0	3	4	1	3	
ENSG00000160049.11	4584	5481	4895	4873	5325	4605	
ENSG00000203469.2	2	3	2	7	0	2	
ENSG00000142655.12	1005	1262	972	1155	1207	1073	
ENSG00000243267.3	0	2	0	0	0	1	
ENSG00000130940.14	206	228	196	227	230	206	
ENSG00000272078.1	0	0	0	0	0	1	
ENSG00000225158.2	0	0	0	0	0	0	
ENSG00000175262.14	0	0	1	0	0	0	
ENSG00000215785.2	0	0	0	0	0	1	
ENSG00000120948.17	6180	7439	6306	6959	6890	6489	
ENSG00000277726.4	0	0	0	0	0	0	
ENSG00000009724.16	29	9	14	16	10	15	
ENSG00000271895.2	13	19	17	19	16	17	
ENSG00000116649.9	3768	4116	4109	3974	4201	4047	
ENSG00000171824.13	4042	4538	4465	4264	4403	3821	
ENSG00000226849.1	10	9	7	15	16	11	
ENSG00000230337.1	23	25	24	30	23	17	
ENSG00000198793.12	3741	4124	3885	4180	3825	3597	
ENSG00000225602.5	0	0	0	1	1	0	
ENSG00000253086.1	0	0	0	0	0	0	
ENSG00000171819.4	0	0	0	0	0	0	
ENSG00000207451.1	0	0	0	0	0	0	
ENSG00000238173.1	1	0	0	0	0	0	
ENSG00000120942.13	1229	1279	1337	1375	1296	1306	
ENSG00000238199.1	0	0	1	0	0	0	
ENSG00000284646.1	0	0	2	0	0	0	
ENSG00000224338.2	0	0	0	0	0	0	
ENSG00000204624.7	17	14	10	10	11	6	
ENSG00000285833.1	0	0	0	0	0	0	
ENSG00000235643.1	2	3	2	1	2	1	
ENSG00000284708.1	0	0	0	0	0	0	
ENSG00000116661.10	2056	1900	846	1029	1250	932	
ENSG00000132879.13	1739	1824	1273	1530	1612	1329	
ENSG00000116663.10	292	311	250	250	296	308	
ENSG00000116670.14	1158	1246	1113	1266	1296	1082	
ENSG00000162490.6	7	3	22	12	9	17	
ENSG00000177674.15	2104	2330	2123	2308	2292	2044	
ENSG00000215910.7	0	1	1	2	0	1	
ENSG00000177553.6	0	0	0	0	0	0	
ENSG00000177000.12	1030	1154	765	1165	1090	850	
ENSG00000011021.22	1526	1676	1069	1538	1449	995	
ENSG00000276470.1	0	0	0	0	0	0	
ENSG00000278852.1	0	0	0	0	0	0	
ENSG00000175206.10	0	0	0	0	0	0	
ENSG00000275915.1	0	0	0	0	0	0	
ENSG00000120937.8	1	6	4	0	1	3	
ENSG00000224904.1	0	1	0	1	0	0	
ENSG00000285646.1	1	0	0	3	1	0	
ENSG00000199347.1	0	0	0	0	0	0	
ENSG00000201801.1	0	0	1	0	0	0	
ENSG00000116685.15	1905	2120	1835	1901	2008	1837	
ENSG00000083444.16	7015	7661	6686	7539	7437	6661	
ENSG00000116688.16	5878	6713	6032	6319	6635	6010	
ENSG00000270914.1	0	0	0	0	1	0	
ENSG00000116691.10	684	783	521	687	735	573	
ENSG00000202461.1	0	0	0	0	0	0	
ENSG00000276869.1	0	0	0	0	0	0	
ENSG00000243539.3	0	0	0	0	0	0	
ENSG00000120949.14	1	2	5	3	6	6	
ENSG00000201135.1	0	0	0	0	0	0	
ENSG00000227875.2	0	0	0	0	0	0	
ENSG00000285604.1	0	0	0	0	0	0	
ENSG00000283789.1	0	0	0	0	0	0	
ENSG00000028137.18	8	8	7	12	9	6	
ENSG00000263676.1	0	0	0	0	0	0	
ENSG00000225196.2	0	0	0	0	0	0	
ENSG00000252969.1	0	0	0	0	0	0	
ENSG00000048707.15	1705	1691	1845	2122	1607	1688	
ENSG00000239149.1	1	6	1	4	3	3	
ENSG00000229484.1	2	0	1	1	2	0	
ENSG00000162496.8	4875	4282	3467	5078	3978	3623	
ENSG00000221340.1	10	14	20	18	11	12	
ENSG00000276830.1	8	8	7	3	8	6	
ENSG00000272482.1	113	117	85	137	80	91	
ENSG00000204518.2	0	0	1	0	0	0	
ENSG00000226166.2	0	0	0	0	0	0	
ENSG00000188984.11	0	0	0	0	0	0	
ENSG00000157330.9	0	0	0	0	0	0	
ENSG00000116726.4	2	0	2	0	2	1	
ENSG00000116721.9	0	0	0	0	0	0	
ENSG00000228338.1	0	0	0	0	0	0	
ENSG00000239810.3	0	0	0	0	0	0	
ENSG00000231103.2	0	0	0	0	0	0	
ENSG00000179172.9	0	0	0	0	0	0	
ENSG00000120952.4	0	0	0	1	0	0	
ENSG00000243073.3	0	0	0	0	0	0	
ENSG00000187545.5	0	0	0	0	0	0	
ENSG00000204510.5	0	0	0	0	0	0	
ENSG00000207434.1	0	0	0	0	0	0	
ENSG00000234064.1	0	0	0	0	0	0	
ENSG00000232423.6	0	0	0	0	0	0	
ENSG00000274178.2	0	0	0	0	0	0	
ENSG00000274764.5	0	0	0	0	0	0	
ENSG00000277058.2	0	0	0	0	0	0	
ENSG00000229571.7	0	0	0	0	0	0	
ENSG00000277862.1	0	0	0	0	0	0	
ENSG00000236179.1	0	0	0	0	0	0	
ENSG00000275774.2	0	0	0	0	0	0	
ENSG00000229978.1	0	0	0	0	0	0	
ENSG00000233336.1	0	0	0	0	0	0	
ENSG00000280267.4	0	0	0	0	0	0	
ENSG00000179412.10	0	0	0	0	0	0	
ENSG00000204505.4	0	0	0	0	0	0	
ENSG00000279169.2	0	0	0	0	0	0	
ENSG00000279804.2	0	0	0	0	0	0	
ENSG00000250894.1	0	0	0	0	0	0	
ENSG00000270601.4	0	0	0	0	0	0	
ENSG00000231219.1	0	0	0	0	0	0	
ENSG00000207511.1	0	0	0	0	0	0	
ENSG00000182330.10	0	0	1	0	0	0	
ENSG00000237700.2	0	0	0	0	0	0	
ENSG00000204501.7	0	0	0	0	0	0	
ENSG00000228229.2	0	0	0	0	0	0	
ENSG00000204481.7	0	0	0	0	0	0	
ENSG00000204480.8	0	0	0	1	0	0	
ENSG00000204479.4	0	0	0	0	0	0	
ENSG00000204478.9	0	0	0	0	1	0	
ENSG00000162494.5	0	0	0	0	0	0	
ENSG00000259961.1	0	0	0	0	0	0	
ENSG00000215909.3	0	0	0	0	0	0	
ENSG00000162493.16	0	0	0	0	0	0	
ENSG00000222952.1	0	0	0	0	0	0	
ENSG00000237445.2	0	0	0	0	0	0	
ENSG00000253085.1	0	0	0	0	0	0	
ENSG00000116731.22	1465	1683	1546	1749	1567	1493	
ENSG00000189337.16	234	301	327	295	290	285	
ENSG00000252151.1	0	0	0	0	0	0	
ENSG00000231606.1	0	0	0	0	0	0	
ENSG00000234593.2	0	0	0	0	0	0	
ENSG00000235829.1	0	0	0	0	0	0	
ENSG00000175147.12	137	114	115	129	102	118	
ENSG00000171729.13	1730	1795	1533	1582	1702	1649	
ENSG00000204464.7	0	0	0	0	1	1	
ENSG00000215720.4	0	0	0	0	0	0	
ENSG00000278480.1	4	11	7	4	7	8	
ENSG00000142621.19	50	61	58	75	57	55	
ENSG00000233485.1	0	0	0	0	0	0	
ENSG00000236045.1	1	2	0	0	0	0	
ENSG00000228140.1	33	30	29	29	27	30	
ENSG00000142634.12	9604	9641	11629	10371	10188	11730	
ENSG00000162438.11	12	13	8	7	6	6	
ENSG00000142615.7	0	0	0	1	0	0	
ENSG00000215704.9	0	2	0	1	1	0	
ENSG00000132906.17	781	751	822	816	816	788	
ENSG00000116138.12	987	1059	1046	1083	1074	957	
ENSG00000251866.1	0	2	1	1	0	1	
ENSG00000272510.1	0	3	8	8	5	1	
ENSG00000116771.5	1149	1424	1272	1204	1336	1186	
ENSG00000237301.1	11	8	6	10	10	4	
ENSG00000235084.3	29	19	16	38	15	17	
ENSG00000252417.1	0	0	0	0	0	0	
ENSG00000236500.1	0	0	0	0	0	0	
ENSG00000197312.11	1813	2263	2313	2354	2195	2232	
ENSG00000215695.1	0	0	0	0	0	0	
ENSG00000271742.1	0	0	0	0	0	0	
ENSG00000116786.12	2935	3448	2764	3114	3369	2728	
ENSG00000237938.5	0	0	0	0	0	0	
ENSG00000162461.7	35	32	29	44	43	25	
ENSG00000224459.1	1	0	1	1	1	0	
ENSG00000162460.6	0	0	1	0	0	0	
ENSG00000162458.12	3476	3844	3057	3166	3140	3139	
ENSG00000224321.1	1	1	2	3	1	0	
ENSG00000233954.6	103	85	62	86	75	50	
